Title,Example,Commodity Title
Chief Executives,Adobe Systems Adobe Acrobat,Document management software
Chief Executives,AdSense Tracker,Data base user interface and query software
Chief Executives,Atlassian JIRA,Content workflow software
Chief Executives,Blackbaud The Raiser's Edge,Customer relationship management CRM software
Chief Executives,ComputerEase Construction Accounting,Accounting software
Chief Executives,Database reporting software,Data base reporting software
Chief Executives,Databox,Data base user interface and query software
Chief Executives,Email software,Electronic mail software
Chief Executives,Enterprise resource planning ERP software,Enterprise resource planning ERP software
Chief Executives,Exact Software Macola ES Labor Performance,Time accounting software
Chief Executives,Extensible markup language XML,Enterprise application integration software
Chief Executives,Fund accounting software,Accounting software
Chief Executives,Graphic presentation software,Graphics or photo imaging software
Chief Executives,Halogen e360,Human resources software
Chief Executives,Halogen ePraisal,Human resources software
Chief Executives,HCSS HeavyBid,Project management software
Chief Executives,HCSS HeavyJob,Project management software
Chief Executives,Human resource information system HRIS,Human resources software
Chief Executives,Infor SSA Human Capital Management,Human resources software
Chief Executives,Intuit QuickBooks,Accounting software
Chief Executives,Listserv software,Electronic mail software
Chief Executives,Lyris HQ Web-Analytics Solution,Analytical or scientific software
Chief Executives,Microsoft Access,Data base user interface and query software
Chief Executives,Microsoft Dynamics,Enterprise resource planning ERP software
Chief Executives,Microsoft Dynamics AX,Enterprise resource planning ERP software
Chief Executives,Microsoft Dynamics GP,Enterprise resource planning ERP software
Chief Executives,Microsoft Excel,Spreadsheet software
Chief Executives,Microsoft FRx,Financial analysis software
Chief Executives,Microsoft Office,Office suite software
Chief Executives,Microsoft Outlook,Electronic mail software
Chief Executives,Microsoft PowerPoint,Presentation software
Chief Executives,Microsoft Project,Project management software
Chief Executives,Microsoft Publisher,Desktop publishing software
Chief Executives,Microsoft SharePoint,Project management software
Chief Executives,Microsoft Word,Word processing software
Chief Executives,Nedstat Sitestat,Analytical or scientific software
Chief Executives,Norchard Solutions Succession Wizard,Time accounting software
Chief Executives,Online advertising reporting software,Analytical or scientific software
Chief Executives,Oracle E-Business Suite,Enterprise resource planning ERP software
Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software
Chief Executives,Oracle Siebel Server Sync,Customer relationship management CRM software
Chief Executives,PHP: Hypertext Preprocessor,Web platform development software
Chief Executives,Relational database management software,Data base management system software
Chief Executives,Sage 50 Accounting,Accounting software
Chief Executives,SAP,Enterprise resource planning ERP software
Chief Executives,SmugMug Flickr,Graphics or photo imaging software
Chief Executives,Structured query language SQL,Data base user interface and query software
Chief Executives,Web browser software,Internet browser software
Chief Sustainability Officers,Email software,Electronic mail software
Chief Sustainability Officers,Microsoft Access,Data base user interface and query software
Chief Sustainability Officers,Microsoft Dynamics GP,Enterprise resource planning ERP software
Chief Sustainability Officers,Microsoft Excel,Spreadsheet software
Chief Sustainability Officers,Microsoft Office,Office suite software
Chief Sustainability Officers,Microsoft PowerPoint,Presentation software
Chief Sustainability Officers,Microsoft Project,Project management software
Chief Sustainability Officers,Microsoft Word,Word processing software
Chief Sustainability Officers,SAP,Enterprise resource planning ERP software
Chief Sustainability Officers,Scheduling software,Calendar and scheduling software
Chief Sustainability Officers,Teleconferencing software,Video conferencing software
Chief Sustainability Officers,Web browser software,Internet browser software
General and Operations Managers,ActionWare,Customer relationship management CRM software
General and Operations Managers,Adobe Systems Adobe Acrobat,Document management software
General and Operations Managers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software
General and Operations Managers,ADP Workforce Now,Human resources software
General and Operations Managers,Amazon Web Services AWS software,Data base user interface and query software
General and Operations Managers,AMG Teleran SalesInSync,Customer relationship management CRM software
General and Operations Managers,Apache Hadoop,Data base management system software
General and Operations Managers,Apple Final Cut Pro,Video creation and editing software
General and Operations Managers,Apple macOS,Operating system software
General and Operations Managers,Atlassian JIRA,Content workflow software
General and Operations Managers,Autodesk AutoCAD,Computer aided design CAD software
General and Operations Managers,Avidian Technologies Prophet,Customer relationship management CRM software
General and Operations Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software
General and Operations Managers,Blackboard,Data base user interface and query software
General and Operations Managers,CA Erwin Data Modeler,Metadata management software
General and Operations Managers,Calendar and scheduling software,Calendar and scheduling software
General and Operations Managers,Citrix,Access software
General and Operations Managers,CNC Mastercam,Computer aided manufacturing CAM software
General and Operations Managers,Computer aided manufacturing CAM software,Computer aided manufacturing CAM software
General and Operations Managers,Confluence,Project management software
General and Operations Managers,Customer information control system CICS,Transaction server software
General and Operations Managers,Data entry software,Data base user interface and query software
General and Operations Managers,Datawatch Monarch,Data mining software
General and Operations Managers,Deacom ERP,Enterprise resource planning ERP software
General and Operations Managers,Delphi Technology,Financial analysis software
General and Operations Managers,Dynamic Energy Systems MedAct,Medical software
General and Operations Managers,Extensible markup language XML,Enterprise application integration software
General and Operations Managers,Facebook,Web page creation and editing software
General and Operations Managers,FileMaker Pro,Data base user interface and query software
General and Operations Managers,Fund accounting software,Accounting software
General and Operations Managers,Geographic information system GIS software,Map creation software
General and Operations Managers,Google AdWords,Sales and marketing software
General and Operations Managers,Google Analytics,Data mining software
General and Operations Managers,Google Docs,Word processing software
General and Operations Managers,Google Drive,Office suite software
General and Operations Managers,HEAT Software GoldMine,Customer relationship management CRM software
General and Operations Managers,Human resource management software HRMS,Human resources software
General and Operations Managers,Human resources software,Human resources software
General and Operations Managers,IBM Cognos Impromptu,Business intelligence and data analysis software
General and Operations Managers,IBM Domino,Communications server software
General and Operations Managers,IBM InfoSphere DataStage,Enterprise application integration software
General and Operations Managers,IBM Notes,Electronic mail software
General and Operations Managers,IBM Power Systems software,Enterprise system management software
General and Operations Managers,IBM SPSS Statistics,Analytical or scientific software
General and Operations Managers,InnQuest Software roomMaster,Facilities management software
General and Operations Managers,Intuit QuickBooks,Accounting software
General and Operations Managers,Inventory management software,Inventory management software
General and Operations Managers,Job control language JCL,Operating system software
General and Operations Managers,Kronos Workforce Payroll,Time accounting software
General and Operations Managers,Kronos Workforce Timekeeper,Time accounting software
General and Operations Managers,LexisNexis,Information retrieval or search software
General and Operations Managers,LinkedIn,Web page creation and editing software
General and Operations Managers,LSA Visual Easy Lean,Materials requirements planning logistics and supply chain software
General and Operations Managers,Marketo Marketing Automation,Sales and marketing software
General and Operations Managers,Maximizer Software Maximizer Enterprise,Customer relationship management CRM software
General and Operations Managers,McAfee,Transaction security and virus protection software
General and Operations Managers,Microsoft Access,Data base user interface and query software
General and Operations Managers,Microsoft Dynamics,Enterprise resource planning ERP software
General and Operations Managers,Microsoft Dynamics GP,Enterprise resource planning ERP software
General and Operations Managers,Microsoft Excel,Spreadsheet software
General and Operations Managers,Microsoft Exchange Server,Electronic mail software
General and Operations Managers,Microsoft FrontPage,Web page creation and editing software
General and Operations Managers,Microsoft Internet Explorer,Internet browser software
General and Operations Managers,Microsoft Office,Office suite software
General and Operations Managers,Microsoft Outlook,Electronic mail software
General and Operations Managers,Microsoft PowerPoint,Presentation software
General and Operations Managers,Microsoft Project,Project management software
General and Operations Managers,Microsoft Publisher,Desktop publishing software
General and Operations Managers,Microsoft SharePoint,Project management software
General and Operations Managers,Microsoft SQL Server,Data base user interface and query software
General and Operations Managers,Microsoft Visio,Graphics or photo imaging software
General and Operations Managers,Microsoft Visual Basic,Development environment software
General and Operations Managers,Microsoft Visual Basic for Applications VBA,Development environment software
General and Operations Managers,Microsoft Windows,Operating system software
General and Operations Managers,Microsoft Word,Word processing software
General and Operations Managers,MicroStrategy,Business intelligence and data analysis software
General and Operations Managers,Minitab,Analytical or scientific software
General and Operations Managers,Mozilla Firefox,Internet browser software
General and Operations Managers,Mozilla Thunderbird,Electronic mail software
General and Operations Managers,Nagios,Network monitoring software
General and Operations Managers,NetSuite ERP,Enterprise resource planning ERP software
General and Operations Managers,NetSuite NetCRM,Customer relationship management CRM software
General and Operations Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software
General and Operations Managers,Oracle E-Business Suite Financials,Financial analysis software
General and Operations Managers,Oracle Eloqua,Customer relationship management CRM software
General and Operations Managers,Oracle Fusion Applications,Enterprise resource planning ERP software
General and Operations Managers,Oracle Hyperion,Enterprise resource planning ERP software
General and Operations Managers,Oracle JD Edwards EnterpriseOne,Enterprise resource planning ERP software
General and Operations Managers,Oracle PeopleSoft,Enterprise resource planning ERP software
General and Operations Managers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software
General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,Project management software
General and Operations Managers,Oracle software,Data base user interface and query software
General and Operations Managers,Oracle Solaris,Operating system software
General and Operations Managers,Oracle Taleo,Human resources software
General and Operations Managers,Payroll software,Time accounting software
General and Operations Managers,Personnel scheduling software,Human resources software
General and Operations Managers,Point of sale POS software,Point of sale POS software
General and Operations Managers,PostgreSQL,Object oriented data base management software
General and Operations Managers,Puppet,Configuration management software
General and Operations Managers,Qlik Tech QlikView,Business intelligence and data analysis software
General and Operations Managers,R,Object or component oriented development software
General and Operations Managers,Realization Streamliner,Project management software
General and Operations Managers,Sage 50 Accounting,Accounting software
General and Operations Managers,Sage ACT!,Customer relationship management CRM software
General and Operations Managers,Sage MAS 500,Financial analysis software
General and Operations Managers,Salesforce software,Customer relationship management CRM software
General and Operations Managers,Salesforce.com Salesforce CRM,Customer relationship management CRM software
General and Operations Managers,SAP,Enterprise resource planning ERP software
General and Operations Managers,SAP Business Objects,Enterprise resource planning ERP software
General and Operations Managers,SAP Crystal Reports,Data base reporting software
General and Operations Managers,SAS,Analytical or scientific software
General and Operations Managers,Savant MobileRanger,Data base user interface and query software
General and Operations Managers,SeaMonkey,Internet browser software
General and Operations Managers,Shell script,Operating system software
General and Operations Managers,Siemens NX for Manufacturing,Computer aided manufacturing CAM software
General and Operations Managers,Social media sites,Web page creation and editing software
General and Operations Managers,Software on Sailboats Desktop Sales Manager,Customer relationship management CRM software
General and Operations Managers,Splunk Enterprise,Enterprise system management software
General and Operations Managers,StataCorp Stata,Analytical or scientific software
General and Operations Managers,Structured query language SQL,Data base user interface and query software
General and Operations Managers,Sugar CRM,Customer relationship management CRM software
General and Operations Managers,Supervisory control and data acquisition SCADA software,Industrial control software
General and Operations Managers,Symantec,Transaction security and virus protection software
General and Operations Managers,Tableau,Business intelligence and data analysis software
General and Operations Managers,Tax software,Accounting software
General and Operations Managers,Teradata Database,Data base management system software
General and Operations Managers,The MathWorks MATLAB,Analytical or scientific software
General and Operations Managers,Vanguard Software Vanguard Sales Manager,Customer relationship management CRM software
General and Operations Managers,Veritas NetBackup,Backup or archival software
General and Operations Managers,vtiger CRM,Customer relationship management CRM software
General and Operations Managers,Yardi,Data base user interface and query software
General and Operations Managers,YouTube,Video creation and editing software
Legislators,Adobe Systems Adobe Acrobat,Document management software
Legislators,Adobe Systems Adobe FrameMaker,Desktop publishing software
Legislators,Antenna House,Desktop publishing software
Legislators,Apple iWork Keynote,Presentation software
Legislators,Apple Numbers for Mac,Spreadsheet software
Legislators,Apple Pages for Mac,Word processing software
Legislators,Cisco AnyConnect,Access software
Legislators,Cisco Systems WebEx,Video conferencing software
Legislators,Citrix GoToMeeting,Video conferencing software
Legislators,Corel WordPerfect Office Suite,Office suite software
Legislators,GoodReader,Word processing software
Legislators,iAnnotate,Word processing software
Legislators,IBM Domino,Communications server software
Legislators,Legislative Automative Workflow System LAWS,Data base user interface and query software
Legislators,Mapping software,Map creation software
Legislators,Meeting scheduling software,Calendar and scheduling software
Legislators,Microsoft Access,Data base user interface and query software
Legislators,Microsoft Excel,Spreadsheet software
Legislators,Microsoft Exchange Server,Electronic mail software
Legislators,Microsoft Office,Office suite software
Legislators,Microsoft Outlook,Electronic mail software
Legislators,Microsoft SharePoint,Project management software
Legislators,Microsoft SQL Server,Data base user interface and query software
Legislators,Microsoft Visual Basic,Development environment software
Legislators,Microsoft Word,Word processing software
Legislators,Penultimate,Word processing software
Legislators,PTC Arbortext Editor,Word processing software
Legislators,Rocket/Folio NXT,Desktop publishing software
Legislators,Structured query language SQL,Data base user interface and query software
Legislators,Web browser software,Internet browser software
Legislators,Windows Media Player,Music or sound editing software
Legislators,XMetaL Author,Word processing software
Advertising and Promotions Managers,Actuate BIRT,Business intelligence and data analysis software
Advertising and Promotions Managers,Adobe Systems Adobe Acrobat,Document management software
Advertising and Promotions Managers,Adobe Systems Adobe AfterEffects,Video creation and editing software
Advertising and Promotions Managers,Adobe Systems Adobe Creative Suite,Development environment software
Advertising and Promotions Managers,Adobe Systems Adobe Dreamweaver,Web page creation and editing software
Advertising and Promotions Managers,Adobe Systems Adobe Flash Player,Web page creation and editing software
Advertising and Promotions Managers,Adobe Systems Adobe Illustrator,Graphics or photo imaging software
Advertising and Promotions Managers,Adobe Systems Adobe InDesign,Desktop publishing software
Advertising and Promotions Managers,Adobe Systems Adobe PageMaker,Desktop publishing software
Advertising and Promotions Managers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software
Advertising and Promotions Managers,Adobe Systems Adobe Premiere Pro,Video creation and editing software
Advertising and Promotions Managers,AdRelevance,Data base reporting software
Advertising and Promotions Managers,Apple Final Cut Pro,Video creation and editing software
Advertising and Promotions Managers,Apple iMovie,Video creation and editing software
Advertising and Promotions Managers,Avid Media Composer,Video creation and editing software
Advertising and Promotions Managers,Brainworks,Enterprise resource planning ERP software
Advertising and Promotions Managers,Business analysis software,Analytical or scientific software
Advertising and Promotions Managers,Constant Contact,Customer relationship management CRM software
Advertising and Promotions Managers,Customer relationship management CRM software,Customer relationship management CRM software
Advertising and Promotions Managers,Data visualization software,Analytical or scientific software
Advertising and Promotions Managers,Data warehousing software,Document management software
Advertising and Promotions Managers,Database software,Data base user interface and query software
Advertising and Promotions Managers,Experience in Software Webplanner,Project management software
Advertising and Promotions Managers,Facebook,Web page creation and editing software
Advertising and Promotions Managers,Google AdWords,Sales and marketing software
Advertising and Promotions Managers,Google Analytics,Analytical or scientific software
Advertising and Promotions Managers,Google DoubleClick,Business intelligence and data analysis software
Advertising and Promotions Managers,IBM Lotus Notes,Electronic mail software
Advertising and Promotions Managers,JavaScript,Web platform development software
Advertising and Promotions Managers,LinkedIn,Web page creation and editing software
Advertising and Promotions Managers,MarketSharp,Customer relationship management CRM software
Advertising and Promotions Managers,Microsoft Access,Data base user interface and query software
Advertising and Promotions Managers,Microsoft Dynamics Marketing,Data base user interface and query software
Advertising and Promotions Managers,Microsoft Excel,Spreadsheet software
Advertising and Promotions Managers,Microsoft Office,Office suite software
Advertising and Promotions Managers,Microsoft Outlook,Electronic mail software
Advertising and Promotions Managers,Microsoft PowerPoint,Presentation software
Advertising and Promotions Managers,Microsoft Publisher,Desktop publishing software
Advertising and Promotions Managers,Microsoft Windows,Operating system software
Advertising and Promotions Managers,Microsoft Word,Word processing software
Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,Data base user interface and query software
Advertising and Promotions Managers,Quark,Desktop publishing software
Advertising and Promotions Managers,Relex Weibull,Analytical or scientific software
Advertising and Promotions Managers,Salesforce software,Customer relationship management CRM software
Advertising and Promotions Managers,Structure query language SQL,Data base user interface and query software
Advertising and Promotions Managers,Tableau,Business intelligence and data analysis software
Advertising and Promotions Managers,Web browser software,Internet browser software
Advertising and Promotions Managers,Webtrends software,Sales and marketing software
Advertising and Promotions Managers,YouTube,Video creation and editing software
Green Marketers,Adobe Systems Adobe Acrobat,Document management software
Green Marketers,Adobe Systems Adobe Creative Suite,Development environment software
Green Marketers,Adobe Systems Adobe Dreamweaver,Web page creation and editing software
Green Marketers,Adobe Systems Adobe Experience Manager (AEM),Web page creation and editing software
Green Marketers,Adobe Systems Adobe Illustrator,Graphics or photo imaging software
Green Marketers,Adobe Systems Adobe InDesign,Desktop publishing software
Green Marketers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software
Green Marketers,Adobe Systems Adobe Reader,Document management software
Green Marketers,Computer aided software engineering CASE tools,Object or component oriented development software
Green Marketers,Customer relationship management CRM software,Customer relationship management CRM software
Green Marketers,Drupal,Web platform development software
Green Marketers,Email software,Electronic mail software
Green Marketers,Extensible markup language XML,Enterprise application integration software
Green Marketers,Facebook,Web page creation and editing software
Green Marketers,Google AdWords,Sales and marketing software
Green Marketers,Google Analytics,Analytical or scientific software
Green Marketers,Hootsuite,Enterprise application integration software
Green Marketers,HubSpot software,Sales and marketing software
Green Marketers,Hypertext markup language HTML,Web platform development software
Green Marketers,Inventory tracking software,Inventory management software
Green Marketers,JavaScript,Web platform development software
Green Marketers,LinkedIn,Web page creation and editing software
Green Marketers,MailChimp,Electronic mail software
Green Marketers,Marketo Marketing Automation,Sales and marketing software
Green Marketers,Microsoft Access,Data base user interface and query software
Green Marketers,Microsoft Excel,Spreadsheet software
Green Marketers,Microsoft Office,Office suite software
Green Marketers,Microsoft Outlook,Electronic mail software
Green Marketers,Microsoft PowerPoint,Presentation software
Green Marketers,Microsoft Project,Project management software
Green Marketers,Microsoft Publisher,Desktop publishing software
Green Marketers,Microsoft SharePoint,Project management software
Green Marketers,Microsoft SQL Server,Data base management system software
Green Marketers,Microsoft Word,Word processing software
Green Marketers,Oracle Eloqua,Customer relationship management CRM software
Green Marketers,Pinterest,Information retrieval or search software
Green Marketers,Salesforce software,Customer relationship management CRM software
Green Marketers,SAP,Enterprise resource planning ERP software
Green Marketers,Scheduling software,Calendar and scheduling software
Green Marketers,Social media software,Web page creation and editing software
Green Marketers,Software development tools,Development environment software
Green Marketers,Structure query language SQL,Data base user interface and query software
Green Marketers,Twitter,Instant messaging software
Green Marketers,Vimeo,Video creation and editing software
Green Marketers,Web browser software,Internet browser software
Green Marketers,WebTrends Analytics,Analytical or scientific software
Green Marketers,Webtrends software,Sales and marketing software
Green Marketers,WordPress,Web page creation and editing software
Green Marketers,YouTube,Video creation and editing software
Marketing Managers,Adobe Systems Adobe Acrobat,Document management software
Marketing Managers,Adobe Systems Adobe ActionScript,Development environment software
Marketing Managers,Adobe Systems Adobe AfterEffects,Video creation and editing software
Marketing Managers,Adobe Systems Adobe Creative Cloud,Graphics or photo imaging software
Marketing Managers,Adobe Systems Adobe Dreamweaver,Web page creation and editing software
Marketing Managers,Adobe Systems Adobe Fireworks,Graphics or photo imaging software
Marketing Managers,Adobe Systems Adobe Flash,Graphics or photo imaging software
Marketing Managers,Adobe Systems Adobe Illustrator,Graphics or photo imaging software
Marketing Managers,Adobe Systems Adobe InDesign,Desktop publishing software
Marketing Managers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software
Marketing Managers,Adobe Systems Adobe Reader,Document management software
Marketing Managers,AdSense Tracker,Data base user interface and query software
Marketing Managers,AEC Software FastTrack,Data base user interface and query software
Marketing Managers,Amazon Redshift,Data base user interface and query software
Marketing Managers,Amazon Web Services AWS software,Data base user interface and query software
Marketing Managers,Apache Cassandra,Data base management system software
Marketing Managers,Apache Hadoop,Data base management system software
Marketing Managers,Apache Hive,Data base management system software
Marketing Managers,Apache Pig,Data base management system software
Marketing Managers,Apache Solr,Data base management system software
Marketing Managers,Apple Final Cut Pro,Video creation and editing software
Marketing Managers,Apple macOS,Operating system software
Marketing Managers,Armand Morin MultiTrack Generator,Transaction server software
Marketing Managers,Atlassian JIRA,Content workflow software
Marketing Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software
Marketing Managers,C,Development environment software
Marketing Managers,Cascading Style Sheets CSS,Web platform development software
Marketing Managers,Citrix,Access software
Marketing Managers,ClearEDGE,Data base user interface and query software
Marketing Managers,Confluence,Project management software
Marketing Managers,Constant Contact,Customer relationship management CRM software
Marketing Managers,Data entry software,Data base user interface and query software
Marketing Managers,Database reporting software,Data base reporting software
Marketing Managers,Databox,Data base user interface and query software
Marketing Managers,Delphi Technology,Financial analysis software
Marketing Managers,Drupal,Web platform development software
Marketing Managers,Dynamic hypertext markup language DHTML,Web platform development software
Marketing Managers,Elasticsearch,Data base management system software
Marketing Managers,Extensible HyperText Markup Language XHTML,Web platform development software
Marketing Managers,Extensible markup language XML,Enterprise application integration software
Marketing Managers,Facebook,Web page creation and editing software
Marketing Managers,FileMaker Pro,Data base user interface and query software
Marketing Managers,Fund accounting software,Accounting software
Marketing Managers,GitHub,Application server software
Marketing Managers,Google AdWords,Sales and marketing software
Marketing Managers,Google Analytics,Data mining software
Marketing Managers,Google Docs,Word processing software
Marketing Managers,Google Drive,Office suite software
Marketing Managers,Hypertext markup language HTML,Web platform development software
Marketing Managers,IBM Cognos Impromptu,Business intelligence and data analysis software
Marketing Managers,IBM Domino,Communications server software
Marketing Managers,IBM InfoSphere DataStage,Enterprise application integration software
Marketing Managers,IBM Notes,Electronic mail software
Marketing Managers,IBM Power Systems software,Enterprise system management software
Marketing Managers,IBM SPSS Statistics,Analytical or scientific software
Marketing Managers,Intuit QuickBooks,Accounting software
Marketing Managers,JavaScript,Web platform development software
Marketing Managers,Jupyter Notebook,Object or component oriented development software
Marketing Managers,LAMP Stack,Web platform development software
Marketing Managers,LexisNexis,Information retrieval or search software
Marketing Managers,LinkedIn,Web page creation and editing software
Marketing Managers,Lyris HQ Web-Analytics Solution,Analytical or scientific software
Marketing Managers,Marketo Marketing Automation,Sales and marketing software
Marketing Managers,MarketSharp,Customer relationship management CRM software
Marketing Managers,McAfee,Transaction security and virus protection software
Marketing Managers,Microsoft Access,Data base user interface and query software
Marketing Managers,Microsoft Azure,Development environment software
Marketing Managers,Microsoft Dynamics,Enterprise resource planning ERP software
Marketing Managers,Microsoft Excel,Spreadsheet software
Marketing Managers,Microsoft Office,Office suite software
Marketing Managers,Microsoft Outlook,Electronic mail software
Marketing Managers,Microsoft PowerPoint,Presentation software
Marketing Managers,Microsoft Project,Project management software
Marketing Managers,Microsoft Publisher,Desktop publishing software
Marketing Managers,Microsoft SharePoint,Project management software
Marketing Managers,Microsoft SQL Server,Data base user interface and query software
Marketing Managers,Microsoft Visio,Graphics or photo imaging software
Marketing Managers,Microsoft Visual Basic,Development environment software
Marketing Managers,Microsoft Visual Basic for Applications VBA,Development environment software
Marketing Managers,Microsoft Visual Basic Scripting Edition VBScript,Development environment software
Marketing Managers,Microsoft Word,Word processing software
Marketing Managers,MicroStrategy,Business intelligence and data analysis software
Marketing Managers,Minitab,Analytical or scientific software
Marketing Managers,MySQL,Data base user interface and query software
Marketing Managers,Nedstat Sitestat,Analytical or scientific software
Marketing Managers,NetSuite ERP,Enterprise resource planning ERP software
Marketing Managers,NoSQL,Data base management system software
Marketing Managers,Online advertising reporting software,Analytical or scientific software
Marketing Managers,Oracle Beehive,Expert system software
Marketing Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software
Marketing Managers,Oracle E-Business Suite Financials,Financial analysis software
Marketing Managers,Oracle Eloqua,Customer relationship management CRM software
Marketing Managers,Oracle Fusion Applications,Enterprise resource planning ERP software
Marketing Managers,Oracle Hyperion,Enterprise resource planning ERP software
Marketing Managers,Oracle JavaServer Pages JSP,Web platform development software
Marketing Managers,Oracle PeopleSoft,Enterprise resource planning ERP software
Marketing Managers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software
Marketing Managers,Oracle PL/SQL,Data base management system software
Marketing Managers,Oracle Siebel Server Sync,Customer relationship management CRM software
Marketing Managers,Oracle software,Data base user interface and query software
Marketing Managers,PHP: Hypertext Preprocessor,Web platform development software
Marketing Managers,Python,Object or component oriented development software
Marketing Managers,QAD Marketing Automation,Customer relationship management CRM software
Marketing Managers,Qlik Tech QlikView,Business intelligence and data analysis software
Marketing Managers,R,Object or component oriented development software
Marketing Managers,Ruby,Development environment software
Marketing Managers,Ruby on Rails,Web platform development software
Marketing Managers,Sage SalesLogix,Customer relationship management CRM software
Marketing Managers,Salesforce software,Customer relationship management CRM software
Marketing Managers,Salesforce.com Salesforce CRM,Customer relationship management CRM software
Marketing Managers,SAP,Enterprise resource planning ERP software
Marketing Managers,SAP Business Objects,Enterprise resource planning ERP software
Marketing Managers,SAS,Analytical or scientific software
Marketing Managers,SmugMug Flickr,Graphics or photo imaging software
Marketing Managers,Social media sites,Web page creation and editing software
Marketing Managers,Splunk Enterprise,Enterprise system management software
Marketing Managers,StataCorp Stata,Analytical or scientific software
Marketing Managers,Structured query language SQL,Data base user interface and query software
Marketing Managers,Swift,Object or component oriented development software
Marketing Managers,Symantec,Transaction security and virus protection software
Marketing Managers,Tableau,Business intelligence and data analysis software
Marketing Managers,Tax software,Accounting software
Marketing Managers,Teradata Database,Data base management system software
Marketing Managers,The MathWorks MATLAB,Analytical or scientific software
Marketing Managers,Web browser software,Internet browser software
Marketing Managers,Yardi,Data base user interface and query software
Marketing Managers,YouTube,Video creation and editing software
Sales Managers,Adobe Systems Adobe Acrobat,Document management software
Sales Managers,Adobe Systems Adobe ActionScript,Development environment software
Sales Managers,Adobe Systems Adobe Creative Cloud,Graphics or photo imaging software
Sales Managers,Adobe Systems Adobe Flash,Graphics or photo imaging software
Sales Managers,Avidian Technologies Prophet,Customer relationship management CRM software
Sales Managers,Bentley MicroStation,Computer aided design CAD software
Sales Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software
Sales Managers,Contact management software,Calendar and scheduling software
Sales Managers,Data entry software,Data base user interface and query software
Sales Managers,Delphi Discovery,Financial analysis software
Sales Managers,Delphi Technology,Financial analysis software
Sales Managers,Eclipse IDE,Development environment software
Sales Managers,Eden Sales Manager,Customer relationship management CRM software
Sales Managers,Facebook,Web page creation and editing software
Sales Managers,FileMaker Pro,Data base user interface and query software
Sales Managers,Geographic information system GIS software,Map creation software
Sales Managers,Google AdWords,Sales and marketing software
Sales Managers,Google Analytics,Data mining software
Sales Managers,Google Docs,Word processing software
Sales Managers,Google Drive,Office suite software
Sales Managers,HEAT Software GoldMine,Customer relationship management CRM software
Sales Managers,Human resource management software HRMS,Human resources software
Sales Managers,Hypertext markup language HTML,Web platform development software
Sales Managers,IBM Cognos Impromptu,Business intelligence and data analysis software
Sales Managers,IBM Notes,Electronic mail software
Sales Managers,IBM Power Systems software,Enterprise system management software
Sales Managers,IBM SPSS Statistics,Analytical or scientific software
Sales Managers,Inventory software,Inventory management software
Sales Managers,LexisNexis,Information retrieval or search software
Sales Managers,LinkedIn,Web page creation and editing software
Sales Managers,Marketo Marketing Automation,Sales and marketing software
Sales Managers,Maximizer Software Maximizer Enterprise,Customer relationship management CRM software
Sales Managers,McAfee,Transaction security and virus protection software
Sales Managers,Microsoft Access,Data base user interface and query software
Sales Managers,Microsoft Azure,Development environment software
Sales Managers,Microsoft Dynamics,Enterprise resource planning ERP software
Sales Managers,Microsoft Dynamics GP,Enterprise resource planning ERP software
Sales Managers,Microsoft Excel,Spreadsheet software
Sales Managers,Microsoft Exchange Server,Electronic mail software
Sales Managers,Microsoft Office,Office suite software
Sales Managers,Microsoft Outlook,Electronic mail software
Sales Managers,Microsoft PowerPoint,Presentation software
Sales Managers,Microsoft Project,Project management software
Sales Managers,Microsoft Publisher,Desktop publishing software
Sales Managers,Microsoft SharePoint,Project management software
Sales Managers,Microsoft SQL Server,Data base user interface and query software
Sales Managers,Microsoft Visio,Graphics or photo imaging software
Sales Managers,Microsoft Visual Basic for Applications VBA,Development environment software
Sales Managers,Microsoft Windows,Operating system software
Sales Managers,Microsoft Word,Word processing software
Sales Managers,MicroStrategy,Business intelligence and data analysis software
Sales Managers,Minitab,Analytical or scientific software
Sales Managers,NetSuite ERP,Enterprise resource planning ERP software
Sales Managers,NetSuite NetCRM,Customer relationship management CRM software
Sales Managers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software
Sales Managers,Oracle E-Business Suite Financials,Financial analysis software
Sales Managers,Oracle Eloqua,Customer relationship management CRM software
Sales Managers,Oracle Fusion Applications,Enterprise resource planning ERP software
Sales Managers,Oracle Hyperion,Enterprise resource planning ERP software
Sales Managers,Oracle JD Edwards EnterpriseOne,Enterprise resource planning ERP software
Sales Managers,Oracle PeopleSoft,Enterprise resource planning ERP software
